Name,bbox_co
frame_817c47b8-22c4-438a-8dc6-0e3f67f299ee_00000-1280_720.jpg,"[[0.47000000000000003, 0.37549407114583333, 0.5677777777781251, 0.5849802371541667], [0.38888888888906253, 0.4288537549402778, 0.41777777777812497, 0.47035573122499996], [0.35111111111093746, 0.430830039525, 0.39777777777812495, 0.4980237154152778]]"
frame_a9110bf2-5252-4ec6-83c6-33b65d0fc04d_00003-1280_720.jpg,"[[0.5555555555554688, 0.4229249011861111, 0.6144444444445312, 0.5118577075097221], [0.4566666666664063, 0.4268774703555555, 0.5055555555554687, 0.4980237154152778]]"
frame_000d9858-86dd-4f24-a3f6-137e62566e17_00002-1280_720.jpg,"[[0.617352614015625, 0.5079051383402777, 0.6551724137929688, 0.5750988142291666], [0.5695216907671875, 0.51976284585, 0.6084538375976563, 0.5830039525694445], [0.29032258064531247, 0.5375494071152778, 0.3604004449390625, 0.6482213438736111], [0.022246941045625003, 0.430830039525, 0.20355951056718752, 0.7747035573125001]]"
frame_0e3865c5-6a1c-4059-82f5-5d9157835ddb_00001-1280_720.jpg,"[[0.5166666666664063, 0.35770750988194444, 0.6133333333335937, 0.5039525691694444], [0.35, 0.3023715415013889, 0.432222222221875, 0.45256916996111113]]"
frame_9d83ca2a-b388-4d20-b9af-59e70b97ae41_00001-1280_720.jpg,"[[0.4126807563960937, 0.5790513833986111, 0.5072302558398437, 0.7252964426874999], [0.34037819799765623, 0.5830039525694445, 0.38375973303671873, 0.6501976284583333], [0.6028921023359375, 0.5415019762847222, 0.6829810901, 0.677865612648611]]"
frame_3f8a3b0f-ddf7-49fa-910a-63538680fe4e_00002-1280_720.jpg,"[[0.40555555555546874, 0.44466403162083334, 0.447777777778125, 0.5019762845847222], [0.302222222221875, 0.4169960474305555, 0.3844444444445313, 0.5355731225291667]]"
frame_6134f376-5c43-49da-a827-5b4529cad272_00000-1280_720.jpg,"[[0.3211111111109375, 0.4130434782611111, 0.48888888888906257, 0.6719367588930556], [0.24777777777812499, 0.4486166007902778, 0.32, 0.5770750988138889], [0.06555555555554687, 0.4110671936763889, 0.21111111111093753, 0.6363636363638888]]"
frame_0f4e3e96-99ec-490c-9f16-c2e0cf600a90_00000-1280_720.jpg,"[[0.791111111109375, 0.47826086956527775, 1.0, 0.7944664031625001], [0.65, 0.5415019762847222, 0.6977777777781251, 0.6067193675888889], [0.607777777778125, 0.5494071146249999, 0.63, 0.5869565217388889], [0.562222222221875, 0.5395256917, 0.6055555555554688, 0.6067193675888889]]"
frame_106ab074-307f-4cbc-9a69-fee5b1bb6157_00001-1280_720.jpg,"[[0.7033333333335937, 0.4426877470361111, 0.8166666666640625, 0.6383399209486111], [0.48555555555546875, 0.44466403162083334, 0.7644444444445312, 0.8260869565222222], [0.4044444444445313, 0.4743083003958333, 0.48333333333359374, 0.596837944663889], [0.09555555555546875, 0.44466403162083334, 0.29555555555546875, 0.7193675889333333]]"
frame_946795bc-e700-49c9-a2b4-c1c40c42ccc8_00000-1280_720.jpg,"[[0.6911111111109375, 0.6739130434777778, 0.7555555555554687, 0.7727272727277779], [0.5555555555554688, 0.6818181818180556, 0.6044444444445312, 0.7648221343875], [0.4511111111109375, 0.6837944664027777, 0.527777777778125, 0.8063241106722223]]"
